Country,date,type,value
Australia,18/06/2020,Daily hospital occupancy,15
Australia,18/06/2020,Daily hospital occupancy per million,0.573
Australia,19/06/2020,Daily ICU occupancy,3
Australia,19/06/2020,Daily ICU occupancy per million,0.115
Australia,19/06/2020,Daily hospital occupancy,17
Australia,19/06/2020,Daily hospital occupancy per million,0.649
Australia,20/06/2020,Daily ICU occupancy,2
Australia,20/06/2020,Daily ICU occupancy per million,0.076
Australia,20/06/2020,Daily hospital occupancy,16
Australia,20/06/2020,Daily hospital occupancy per million,0.611
Australia,21/06/2020,Daily ICU occupancy,2
Australia,21/06/2020,Daily ICU occupancy per million,0.076
Australia,21/06/2020,Daily hospital occupancy,18
Australia,21/06/2020,Daily hospital occupancy per million,0.688
Australia,22/06/2020,Daily ICU occupancy,3
Australia,22/06/2020,Daily ICU occupancy per million,0.115
Australia,22/06/2020,Daily hospital occupancy,19
Australia,22/06/2020,Daily hospital occupancy per million,0.726
Australia,23/06/2020,Daily ICU occupancy,2
Australia,23/06/2020,Daily ICU occupancy per million,0.076
Australia,23/06/2020,Daily hospital occupancy,16
Australia,23/06/2020,Daily hospital occupancy per million,0.611
Australia,24/06/2020,Daily ICU occupancy,2
Australia,24/06/2020,Daily ICU occupancy per million,0.076
Australia,24/06/2020,Daily hospital occupancy,16
Australia,24/06/2020,Daily hospital occupancy per million,0.611
Australia,25/06/2020,Daily ICU occupancy,1
Australia,25/06/2020,Daily ICU occupancy per million,0.038
Australia,25/06/2020,Daily hospital occupancy,12
Australia,25/06/2020,Daily hospital occupancy per million,0.458
Australia,26/06/2020,Daily ICU occupancy,1
Australia,26/06/2020,Daily ICU occupancy per million,0.038
Australia,26/06/2020,Daily hospital occupancy,12
Australia,26/06/2020,Daily hospital occupancy per million,0.458
Australia,27/06/2020,Daily ICU occupancy,1
Australia,27/06/2020,Daily ICU occupancy per million,0.038
Australia,27/06/2020,Daily hospital occupancy,11
Australia,27/06/2020,Daily hospital occupancy per million,0.42
Australia,28/06/2020,Daily ICU occupancy,1
Australia,28/06/2020,Daily ICU occupancy per million,0.038
Australia,28/06/2020,Daily hospital occupancy,15
Australia,28/06/2020,Daily hospital occupancy per million,0.573
Australia,29/06/2020,Daily ICU occupancy,1
Australia,29/06/2020,Daily ICU occupancy per million,0.038
Australia,29/06/2020,Daily hospital occupancy,14
Australia,29/06/2020,Daily hospital occupancy per million,0.535
Australia,30/06/2020,Daily ICU occupancy,3
Australia,30/06/2020,Daily ICU occupancy per million,0.115
Australia,30/06/2020,Daily hospital occupancy,18
Australia,30/06/2020,Daily hospital occupancy per million,0.688
Australia,1/07/2020,Daily ICU occupancy,5
Australia,1/07/2020,Daily ICU occupancy per million,0.191
Australia,1/07/2020,Daily hospital occupancy,24
Australia,1/07/2020,Daily hospital occupancy per million,0.917
Australia,2/07/2020,Daily ICU occupancy,7
Australia,2/07/2020,Daily ICU occupancy per million,0.267
Australia,2/07/2020,Daily hospital occupancy,27
Australia,2/07/2020,Daily hospital occupancy per million,1.031
Australia,3/07/2020,Daily ICU occupancy,4
Australia,3/07/2020,Daily ICU occupancy per million,0.153
Australia,3/07/2020,Daily hospital occupancy,29
Australia,3/07/2020,Daily hospital occupancy per million,1.108
Australia,4/07/2020,Daily ICU occupancy,4
Australia,4/07/2020,Daily ICU occupancy per million,0.153
Australia,4/07/2020,Daily hospital occupancy,30
Australia,4/07/2020,Daily hospital occupancy per million,1.146
Australia,5/07/2020,Daily ICU occupancy,6
Australia,5/07/2020,Daily ICU occupancy per million,0.229
Australia,5/07/2020,Daily hospital occupancy,34
Australia,5/07/2020,Daily hospital occupancy per million,1.299
Australia,6/07/2020,Daily ICU occupancy,10
Australia,6/07/2020,Daily ICU occupancy per million,0.382
Australia,6/07/2020,Daily hospital occupancy,39
Australia,6/07/2020,Daily hospital occupancy per million,1.49
Australia,7/07/2020,Daily ICU occupancy,8
Australia,7/07/2020,Daily ICU occupancy per million,0.306
Australia,7/07/2020,Daily hospital occupancy,46
Australia,7/07/2020,Daily hospital occupancy per million,1.757
Australia,8/07/2020,Daily ICU occupancy,10
Australia,8/07/2020,Daily ICU occupancy per million,0.382
Australia,8/07/2020,Daily hospital occupancy,45
Australia,8/07/2020,Daily hospital occupancy per million,1.719
Australia,9/07/2020,Daily ICU occupancy,13
Australia,9/07/2020,Daily ICU occupancy per million,0.497
Australia,9/07/2020,Daily hospital occupancy,54
Australia,9/07/2020,Daily hospital occupancy per million,2.063
